,train
29,"[174, 5927, 396, 5876, 2388, 986, 458, 5145, 6814, 2149, 7323, 1900, 396, 2926, 8912, 314, 4102, 523, 6832, 706, 395, 1299, 470, 1731, 321, 1299, 7470, 3627, 458, 5263, 3658, 6154, 706, 3658, 6154, 1626, 7658, 6154, 856, 9533, 3942, 441, 9090, 1023, 3356, 3451, 615, 4306, 6680, 694, 3858, 6154, 735, 5895, 1398, 6108, 321, 3326, 524, 295, 279, 5648, 4476, 4644, 874, 3004, 6476, 6414, 6014, 318, 931, 2771, 9854, 6769, 1721, 50, 4116, 396, 130, 9335, 1345, 314, 199, 3571, 1860, 1871, 289, 8895, 6591, 3315, 5463, 1027, 6612, 1345, 7752, 3004, 6845, 226, 1194, 767, 971, 9527, 1080, 4182, 1167, 2829, 1799, 495, 475, 320, 9889, 428, 306, 6386, 6328, 2459, 589, 193, 2877, 9012, 193, 2877, 970, 396, 3668, 2388, 189, 2748, 2895, 609, 289, 204, 4113, 9533, 3942, 441, 9090, 1023, 3356, 9476, 4113, 5895, 6023, 2930, 192, 3345, 916, 5459, 1330, 2942, 189, 441, 5251, 3659, 2084, 6239, 474, 34, 668, 572, 7605, 3046, 1613, 971, 172]"
30,"[174, 7411, 1990, 1187, 1613, 1376, 3900, 2735, 1613, 619, 3900, 1187, 1613, 1188, 7192, 750, 4834, 1376, 2191, 1187, 6737, 524, 2008, 395, 5238, 2735, 5338, 2430, 981, 1283, 857, 14, 160, 623, 7439, 3816, 3703, 619, 750, 566, 981, 6028, 572, 2430, 981, 6028, 572, 4787, 2008, 474, 226, 572, 5723, 2091, 363, 326, 3808, 4141, 2049, 1280, 4145, 1591, 857, 8182, 7357, 619, 2191, 1187, 474, 226, 572, 3900, 974, 7357, 1777, 17, 163, 623, 226, 619, 9012, 321, 1376, 1187, 396, 646, 7150, 1019, 5366, 981, 634, 294, 857, 750, 8150, 4197, 1188, 7448, 1530, 1188, 2430, 2008, 2977, 38, 4116, 15, 972, 39, 616, 3088, 395, 212, 9296, 8685, 8683, 396, 2544, 735, 6626, 9741, 8694, 974, 8553, 8666, 3088, 8193, 5366, 676, 4834, 1990, 609, 2038, 1990, 5489, 646, 590, 5829, 395, 1376, 1604, 7081, 3089, 1188, 694, 974, 27, 668, 1376, 353, 130, 25, 168, 8, 150, 1632, 1447, 32, 207, 4894, 3249, 572, 5723, 2008, 3249, 572, 9859, 1187, 3991, 3900, 2735, 320, 3239, 10, 160, 4427, 396, 210, 6239, 2091, 363, 326, 3808, 4141, 2049, 1280, 4145, 1373, 3659, 6239, 974, 7357, 9531, 791, 4308, 1188, 706, 676, 363, 353, 1376, 2149, 1966, 523, 320, 615, 589, 646, 1730, 609, 8279, 5937, 5723, 2091, 22, 668, 5937, 450, 130, 20, 168, 974, 676, 5489, 172]"
31,"[174, 5899, 9141, 2189, 208, 3466, 437, 2183, 2048, 1293, 8213, 3258, 4590, 591, 296, 9946, 138, 612, 312, 6517, 440, 316, 704, 1397, 1066, 6444, 821, 3391, 704, 2198, 5786, 3076, 3318, 440, 3076, 3318, 1069, 296, 200, 3318, 456, 8803, 3763, 498, 8147, 1222, 3418, 3453, 6202, 200, 3466, 3258, 200, 3318, 437, 921, 1354, 161, 2157, 304, 2387, 457, 325, 5826, 290, 4480, 4633, 1029, 3008, 4302, 7962, 4303, 302, 1018, 617, 449, 8616, 440, 5455, 733, 4116, 290, 130, 9954, 977, 364, 8753, 292, 1802, 1820, 7995, 442, 6562, 3320, 4364, 151, 6555, 977, 7759, 3008, 6825, 198, 1274, 769, 1528, 485, 506, 1087, 3853, 1288, 3327, 2273, 617, 477, 188, 9945, 432, 433, 6653, 6270, 2434, 317, 206, 2739, 456, 7306, 2739, 461, 290, 3669, 2189, 208, 72, 613, 1271, 192, 6190, 671, 457, 8803, 3763, 498, 8147, 1222, 3418, 1816, 3318, 457, 921, 1354, 4157, 4369, 1683, 447, 1213, 4840, 1370, 2372, 208, 498, 5253, 2238, 2066, 4114, 199, 58, 668, 500, 7317, 2052, 985, 1528, 172]"
32,"[174, 5928, 5004, 610, 2142, 2325, 765, 442, 5004, 665, 1370, 2731, 1922, 1589, 518, 2174, 5082, 614, 3303, 315, 4087, 765, 447, 8400, 371, 690, 1075, 2814, 371, 3739, 2814, 371, 1231, 8905, 2575, 8827, 447, 2575, 8827, 1104, 325, 70, 8827, 457, 200, 74, 9432, 929, 8515, 2502, 7247, 3448, 498, 2519, 247, 5146, 5465, 8827, 442, 5684, 2425, 2177, 2814, 765, 591, 74, 504, 835, 1589, 1406, 8162, 2503, 3695, 364, 4610, 690, 4058, 427, 1057, 2815, 7147, 4620, 6716, 494, 4116, 6713, 87, 616, 1071, 77, 598, 9505, 1883, 1882, 75, 8122, 6563, 3420, 7959, 1456, 9233, 1071, 1610, 3918, 3695, 6833, 3692, 248, 807, 645, 2720, 1186, 733, 248, 835, 2825, 705, 504, 4799, 144, 740, 1020, 668, 2359, 8760, 1956, 6271, 2555, 327, 74, 7603, 457, 2761, 7603, 462, 1589, 291, 3555, 2142, 75, 371, 3555, 1272, 8800, 714, 1251, 591, 200, 74, 9432, 929, 8515, 2502, 7247, 837, 6033, 591, 5684, 3608, 2326, 1520, 6763, 618, 1797, 835, 2275, 1203, 994, 1769, 5741, 307, 705, 8776, 457, 200, 70, 668, 1375, 7245, 2054, 7575, 820]"
33,"[1536, 1660, 2534, 6854, 1666, 2339, 762, 5369, 7155, 41, 1702, 1547, 3549, 7623, 692, 515, 390, 583, 833, 539, 3799, 762, 2993, 415, 368, 686, 38, 1888, 415, 368, 9771, 415, 368, 1220, 43, 6236, 393, 8820, 2993, 393, 8820, 39, 1277, 479, 8820, 1969, 6435, 2818, 56, 511, 1578, 1409, 7500, 1846, 686, 44, 3877, 244, 762, 3756, 479, 8820, 5369, 3187, 2423, 41, 380, 44, 415, 762, 48, 2296, 415, 825, 5373, 413, 674, 1152, 1296, 3675, 4265, 390, 686, 3823, 738, 1423, 5705, 9224, 4350, 1982, 489, 1605, 9964, 983, 63, 1457, 41, 1289, 545, 368, 708, 2392, 2213, 51, 4862, 607, 5693, 3348, 39, 5229, 1453, 5902, 1196, 41, 1289, 1515, 3675, 8249, 44, 7761, 46, 1660, 2329, 919, 1082, 6263, 1888, 237, 415, 3793, 157, 53, 7062, 1605, 58, 9368, 8507, 32, 5164, 2490, 9879, 7977, 2660, 377, 7977, 34, 511, 5089, 2224, 9972, 361, 368, 2224, 1957, 1809, 237, 692, 4999, 607, 6435, 2818, 56, 511, 1578, 1409, 7500, 2898, 415, 4999, 511, 3187, 8959, 569, 240, 7648, 51, 7697, 5868, 1390, 309, 1429, 919, 413, 483, 2775, 3254, 9369, 335, 1605, 53, 4449, 983, 3825, 39, 3729, 1037]"
34,"[1536, 1662, 2536, 6855, 1667, 2340, 764, 5370, 7156, 41, 1703, 1548, 3551, 7625, 693, 516, 391, 584, 834, 540, 3800, 764, 2994, 416, 370, 688, 38, 1889, 416, 370, 9773, 416, 370, 1221, 43, 6237, 394, 8824, 2994, 394, 8824, 39, 1278, 480, 8824, 1970, 6437, 2819, 56, 512, 1580, 1411, 7502, 1848, 688, 44, 3878, 246, 764, 3757, 480, 8824, 5370, 3189, 2424, 41, 382, 44, 416, 764, 48, 2297, 416, 826, 5374, 414, 675, 1154, 1298, 3677, 4266, 391, 688, 3824, 739, 1424, 5707, 9225, 4351, 1983, 491, 1606, 9964, 984, 63, 1458, 41, 1291, 546, 370, 710, 2393, 2214, 51, 4863, 608, 5695, 3350, 39, 5231, 1455, 5904, 1198, 41, 1291, 1517, 3677, 8251, 44, 7763, 46, 1662, 2330, 920, 1084, 6265, 1889, 239, 416, 3795, 159, 53, 7063, 1606, 58, 9372, 8508, 32, 5166, 2492, 9880, 7979, 2661, 378, 7979, 34, 512, 5091, 2227, 9974, 362, 370, 2227, 1959, 1810, 239, 693, 5001, 608, 6437, 2819, 56, 512, 1580, 1411, 7502, 2899, 416, 5001, 512, 3189, 8961, 570, 242, 7650, 51, 7698, 5869, 1391, 311, 1430, 920, 414, 484, 2776, 3256, 9373, 337, 1606, 53, 4453, 984, 3826, 39, 3731, 1039]"
35,"[174, 186, 4870, 9052, 845, 2317, 1318, 5621, 1272, 273, 5339, 467, 897, 1759, 194, 8301, 4393, 6406, 1294, 190, 7302, 447, 6177, 276, 2308, 367, 3243, 279, 7407, 1837, 186, 5058, 1122, 272, 4711, 464, 465, 289, 5672, 467, 1174, 6866, 3975, 1294, 9820, 924, 183, 405, 403, 2405, 194, 459, 4821, 1174, 2920, 1124, 3454, 1028, 192, 317, 948, 367, 406, 189, 429, 452, 7966, 1313, 2875, 5274, 2405, 4160, 4821, 1174, 277, 4393, 279, 1025, 367, 1085, 314, 7942, 5800, 2161, 429, 326, 421, 293, 1935, 272, 5199, 8860, 6401, 1350, 3777, 5051, 4821, 2335, 277, 7922, 3375, 190, 4286, 462, 1873, 5585, 1271, 321, 5683, 624, 4735, 4275, 326, 273, 399, 846, 404, 461, 439, 1317, 1398, 2480, 2316, 226, 2162, 7659, 330, 1318, 440, 372, 399, 249, 1317, 1398, 5934, 5354, 2125, 2207, 8733]"
36,"[4361, 1854, 7708, 9635, 9770, 4952, 1741, 58, 1228, 5708, 3681, 1151, 2485, 384, 1061, 58, 156, 3103, 1854, 1475, 35, 214, 573, 578, 2627, 695, 1119, 354, 2513, 2954, 673, 3340, 3400, 6724, 944, 39, 1117, 476, 284, 944, 3557, 8605, 3681, 1995, 6540, 6836, 1475, 35, 3540, 2615, 2041, 9436, 3201, 573, 761, 4074, 563, 1995, 6540, 1636, 960, 7777, 6001, 1680, 2361, 2280, 599, 43, 682, 1094, 1393, 3059, 6776, 3201, 2513, 4074, 563, 1995, 823, 52, 673, 2075, 1510, 1233, 3124, 2485, 1822, 563, 329, 599, 34, 852, 4255, 724, 1842, 9466, 2355, 42, 2690, 268, 3564, 3946, 4074, 3201, 214, 573, 1286, 2493, 526, 5971, 58, 1793, 6454, 46, 1735, 5912, 30, 5516, 340, 707, 34, 648, 329, 1987, 280, 918, 6396, 7674, 2601, 9576, 1943, 682, 792, 1053, 1461, 900, 558, 1094, 1130, 329, 900, 7674, 7293, 549, 2699, 2360, 6396, 424, 39, 5105, 3861, 1761]"
37,"[4361, 1856, 7712, 9637, 9772, 4954, 1742, 58, 1264, 5709, 3680, 1178, 2446, 386, 1063, 58, 158, 3102, 1856, 1477, 35, 216, 571, 580, 2504, 696, 1118, 360, 2514, 3282, 672, 3341, 3402, 6725, 946, 39, 1155, 478, 286, 946, 3556, 8606, 3680, 1997, 6541, 6835, 1477, 35, 3542, 2617, 1937, 9438, 3200, 571, 763, 4075, 562, 1997, 6541, 1701, 962, 7779, 6003, 1689, 2397, 2299, 601, 43, 678, 1096, 1395, 3095, 6774, 3200, 2514, 4075, 562, 1997, 824, 52, 672, 2076, 1512, 1339, 3125, 2446, 1826, 562, 331, 601, 34, 853, 4256, 725, 2061, 375, 6812, 42, 2692, 270, 3565, 3517, 4075, 3200, 216, 571, 1284, 2593, 525, 5974, 58, 1792, 6723, 46, 1808, 5913, 30, 5514, 343, 709, 34, 649, 331, 1986, 282, 917, 6395, 7678, 2569, 9577, 1958, 678, 794, 1054, 1463, 896, 559, 1096, 1129, 331, 896, 7678, 7297, 551, 2700, 2363, 6395, 425, 39, 5107, 3863, 1762]"
38,"[8315, 4871, 9053, 846, 2316, 1400, 7975, 1271, 330, 5340, 711, 1113, 1766, 186, 8298, 4392, 8420, 1292, 439, 6976, 440, 6176, 293, 2335, 366, 3514, 321, 7401, 1950, 190, 4366, 1626, 420, 5770, 463, 723, 396, 5673, 711, 1361, 6865, 4001, 1292, 9821, 4651, 404, 399, 2881, 186, 458, 372, 615, 1361, 2919, 1148, 3491, 1027, 226, 326, 951, 366, 1923, 320, 428, 646, 8083, 1311, 2829, 366, 475, 2881, 4159, 372, 615, 1361, 273, 4392, 321, 1026, 366, 1549, 395, 7946, 5799, 2185, 428, 589, 9530, 1934, 420, 5190, 8856, 6429, 1408, 330, 3515, 468, 372, 615, 3344, 273, 7909, 3442, 439, 4463, 461, 2309, 5052, 1502, 623, 1026, 8917, 4062, 5379, 589, 330, 465, 1681, 505, 566, 2348, 1176, 1777, 5353, 6069, 2635, 611, 624, 802, 1400, 472, 1184, 465, 670, 1176, 1777, 8092, 7728, 11, 169, 3616, 2953, 35, 717]"
39,"[174, 1202, 3208, 9055, 4229, 462, 1105, 5652, 1592, 277, 5306, 448, 898, 1767, 71, 303, 469, 432, 460, 6152, 161, 186, 2131, 5438, 5044, 313, 322, 1503, 3181, 304, 7130, 407, 1342, 4083, 1069, 267, 200, 70, 622, 399, 290, 4229, 448, 1175, 6864, 4629, 161, 9827, 942, 667, 4157, 290, 54, 265, 821, 4576, 1175, 2910, 1164, 1134, 1020, 151, 198, 327, 1016, 1913, 397, 188, 432, 449, 8325, 1535, 198, 3832, 477, 2478, 1503, 4576, 1175, 4970, 460, 2979, 1992, 1086, 5249, 163, 1913, 399, 1372, 432, 317, 422, 276, 1936, 267, 5201, 9260, 6402, 1352, 3647, 7259, 4576, 2308, 2131, 553, 3374, 186, 1920, 529, 1931, 1676, 1272, 279, 5162, 410, 3779, 4279, 317, 277, 403, 845, 405, 462, 190, 1305, 1399, 2477, 2317, 192, 1342, 7054, 273, 1105, 447, 275, 403, 179, 1305, 1399, 5933, 2592, 2129, 2216, 8744]"
40,"[174, 3227, 3369, 4118, 8499, 3739, 715, 236, 1672, 5207, 1725, 301, 765, 460, 1031, 78, 7551, 388, 469, 2359, 713, 5217, 1479, 194, 78, 614, 3608, 76, 2847, 3693, 4060, 3360, 2342, 236, 2173, 1126, 6427, 1104, 307, 70, 291, 943, 403, 1685, 7285, 460, 3634, 6794, 2653, 1479, 9786, 2854, 1813, 2326, 3944, 83, 765, 4491, 3634, 869, 1863, 1587, 1456, 4020, 766, 1432, 2055, 398, 208, 2359, 485, 5911, 1355, 705, 9598, 322, 1725, 547, 4491, 3634, 8477, 1377, 250, 8070, 4667, 4089, 403, 1210, 610, 327, 1588, 313, 75, 749, 1163, 324, 9261, 2032, 1420, 379, 1481, 592, 4491, 9459, 614, 553, 3438, 9386, 592, 1418, 184, 2342, 597, 1592, 1879, 250, 592, 407, 1879, 630, 292, 327, 66, 858, 1695, 143, 529, 8321, 3490, 3820, 5115, 1126, 8976, 277, 715, 5438, 52, 858, 180, 666, 3490, 5935, 2547, 2465, 2871, 8754]"
41,"[4361, 1855, 7710, 9636, 9771, 4953, 1743, 58, 1265, 5710, 3682, 1177, 2484, 385, 1062, 58, 157, 3104, 1855, 1476, 35, 215, 583, 579, 2466, 697, 1120, 361, 2515, 3283, 674, 3342, 3401, 6726, 945, 39, 1156, 479, 285, 945, 3558, 8607, 3682, 1996, 6542, 6837, 1476, 35, 3541, 2616, 2042, 9437, 3202, 583, 762, 4076, 564, 1996, 6542, 1702, 961, 7778, 6002, 1687, 2396, 2298, 600, 43, 683, 1095, 1394, 3060, 6778, 3202, 2515, 4076, 564, 1996, 825, 52, 674, 2077, 1511, 1340, 3126, 2484, 1824, 564, 332, 600, 34, 854, 4257, 726, 1843, 9600, 2353, 42, 2691, 269, 3566, 3947, 4076, 3202, 215, 583, 1285, 2494, 527, 5973, 58, 1794, 6456, 46, 1809, 5914, 30, 5517, 347, 708, 34, 650, 332, 1988, 281, 919, 6397, 7676, 2602, 9578, 1957, 683, 793, 1055, 1462, 901, 560, 1095, 1131, 332, 901, 7676, 7295, 550, 2701, 2362, 6397, 423, 39, 5103, 3859, 1760]"
42,"[4361, 1857, 7714, 9638, 9773, 4955, 1744, 58, 1266, 5711, 3683, 1179, 2486, 387, 1064, 58, 159, 3105, 1857, 1478, 35, 217, 584, 581, 2467, 698, 1121, 362, 2516, 3284, 675, 3343, 3403, 6727, 947, 39, 1157, 480, 287, 947, 3559, 8608, 3683, 1998, 6543, 6838, 1478, 35, 3543, 2618, 2043, 9439, 3203, 584, 764, 4077, 565, 1998, 6543, 1703, 963, 7780, 6004, 1691, 2398, 2300, 602, 43, 684, 1097, 1396, 3061, 6780, 3203, 2516, 4077, 565, 1998, 826, 52, 675, 2078, 1513, 1341, 3127, 2486, 1828, 565, 333, 602, 34, 855, 4258, 727, 1844, 9601, 2354, 42, 2693, 271, 3567, 3948, 4077, 3203, 217, 584, 1287, 2495, 528, 5975, 58, 1795, 6457, 46, 1810, 5915, 30, 5518, 348, 710, 34, 651, 333, 1989, 283, 920, 6398, 7680, 2603, 9579, 1959, 684, 795, 1056, 1464, 902, 561, 1097, 1132, 333, 902, 7680, 7299, 552, 2702, 2364, 6398, 426, 39, 5109, 3865, 1763]"
43,"[174, 6937, 805, 6623, 5009, 3367, 1294, 5147, 7402, 1108, 4411, 2554, 2406, 3841, 465, 4365, 198, 720, 224, 183, 988, 805, 193, 277, 5200, 1066, 6840, 448, 2545, 2595, 2907, 57, 605, 224, 7258, 5649, 190, 3379, 471, 1758, 179, 4460, 401, 197, 50, 2792, 367, 1168, 193, 319, 401, 407, 1919, 401, 6372, 1819, 6132, 1713, 6560, 1015, 3106, 4638, 861, 988, 133, 318, 197, 4293, 3508, 272, 306, 3074, 2758, 1066, 272, 2827, 3285, 3508, 185, 3507, 430, 295, 288, 1758, 5446, 448, 318, 288, 6704, 272, 278, 1314, 295, 1758, 275, 6908, 8675, 2474, 775, 2474, 805, 4735, 278, 464, 372, 267, 1125, 6719, 7595, 4735, 448, 2474, 805, 4709, 191, 407, 4730, 318, 273, 4293, 330, 267, 1350, 185, 49, 668, 397, 8860, 9806]"
44,"[1611, 2750, 904, 6362, 904, 2995, 786, 4694, 1475, 2209, 904, 4147, 7707, 1668, 1109, 3083, 38, 486, 6417, 3221, 8345, 7707, 1506, 2021, 4024, 214, 573, 707, 50, 9067, 724, 8739, 3723, 3964, 5818, 1402, 33, 1506, 4406, 7069, 341, 1101, 54, 5142, 218, 652, 57, 1823, 255, 9358, 59, 156, 55, 1244, 243, 782, 54, 4531, 782, 47, 328, 2215, 45, 328, 2128, 38, 2019, 1301, 2891, 37, 3836, 1109, 1504, 2301, 33, 625, 251, 782, 3152, 482, 625, 4483, 4439, 373, 1117, 995, 6959, 707, 3152, 6758, 1245, 45, 514, 486, 4187, 4074, 340, 5511, 340, 862, 2493, 503, 3492, 4187, 6632, 328, 9822, 4987, 33, 877, 904, 3617, 340, 1741, 28, 329, 409, 2203, 486, 341, 1101, 3617, 340, 639, 877, 904, 3311, 2110, 568, 409, 639, 648, 329, 782, 30, 329, 341, 268, 2897, 412, 156, 2130, 7160, 8619]"
45,"[1611, 2752, 906, 6364, 906, 2997, 788, 4696, 1477, 2211, 906, 4146, 7711, 1670, 1115, 3085, 38, 488, 6419, 3220, 8347, 7711, 1508, 2027, 3840, 216, 571, 709, 50, 9071, 725, 8738, 3724, 3966, 5819, 1403, 33, 1508, 4407, 7068, 342, 1100, 54, 5308, 220, 654, 57, 1827, 257, 9359, 59, 9370, 1276, 245, 781, 54, 4530, 781, 3414, 352, 2954, 352, 38, 2025, 1303, 2893, 37, 3838, 1115, 1516, 2303, 33, 631, 253, 781, 3153, 481, 631, 4389, 4440, 376, 1155, 996, 6961, 709, 3153, 6757, 1246, 45, 513, 488, 4188, 4075, 343, 5510, 343, 863, 2593, 502, 3496, 4188, 6895, 409, 8506, 4989, 33, 879, 906, 3679, 343, 1742, 28, 331, 412, 2565, 488, 342, 1100, 3679, 343, 637, 879, 906, 3460, 2111, 567, 412, 637, 649, 331, 781, 30, 331, 342, 2402, 253, 230, 7253, 6812, 30, 8621]"
46,"[174, 6969, 803, 6624, 5010, 3372, 1292, 5148, 7503, 1938, 4413, 2552, 3134, 3923, 723, 4111, 192, 719, 548, 182, 987, 803, 363, 273, 5198, 1142, 6843, 467, 7194, 2622, 2900, 45, 605, 548, 6940, 5824, 439, 2758, 470, 1757, 249, 3286, 400, 264, 38, 2792, 366, 1167, 363, 306, 400, 410, 1886, 400, 6356, 1871, 6884, 1776, 1633, 1113, 1022, 3097, 1525, 1329, 868, 987, 133, 634, 264, 5775, 4061, 420, 353, 2834, 4502, 1142, 420, 3075, 3281, 4061, 4832, 611, 590, 450, 318, 1757, 5801, 467, 634, 318, 6698, 420, 275, 1312, 450, 1757, 372, 6894, 8674, 2488, 774, 2488, 803, 4062, 275, 463, 1184, 272, 1123, 8121, 8354, 4062, 467, 2488, 803, 4745, 193, 410, 4742, 634, 330, 5775, 802, 272, 1408, 339, 37, 668, 406, 8856, 9810]"
47,"[174, 180, 3120, 151, 6625, 5011, 1105, 9580, 5150, 7408, 987, 4412, 2626, 2686, 1467, 399, 2915, 2254, 4465, 1263, 2395, 191, 2131, 292, 1075, 6596, 460, 2322, 2824, 3465, 69, 605, 4465, 3359, 498, 7557, 3721, 1756, 180, 6688, 402, 203, 62, 2792, 1913, 1288, 191, 433, 402, 436, 196, 1999, 6378, 1820, 6138, 1714, 6556, 1070, 3109, 4630, 978, 1263, 133, 288, 203, 4383, 3501, 267, 319, 1999, 3379, 1075, 3121, 355, 3358, 3501, 181, 3511, 431, 296, 302, 1756, 5449, 460, 288, 302, 3576, 267, 355, 1315, 296, 1756, 278, 6915, 8677, 2472, 776, 2472, 2395, 3779, 355, 1068, 275, 307, 1333, 7301, 3721, 3779, 460, 2472, 2395, 1885, 206, 436, 4732, 288, 277, 4383, 273, 307, 1352, 181, 61, 668, 398, 9260, 9805]"
48,"[174, 1295, 263, 908, 6584, 5005, 2889, 1479, 5141, 7478, 988, 9081, 3324, 9461, 585, 403, 4943, 236, 747, 5764, 150, 85, 151, 8808, 614, 292, 1576, 6516, 713, 2323, 4084, 4927, 81, 605, 5764, 5149, 8327, 1110, 78, 734, 66, 209, 656, 1849, 677, 2792, 2055, 2825, 206, 79, 815, 748, 722, 815, 71, 324, 1882, 6919, 1956, 6564, 1482, 3111, 4640, 1499, 3918, 133, 302, 1881, 815, 3512, 307, 3801, 815, 7318, 1576, 307, 1091, 8449, 3512, 184, 3301, 506, 325, 4744, 734, 355, 9528, 302, 2188, 869, 3245, 586, 161, 325, 78, 734, 1544, 324, 8678, 2368, 790, 2368, 908, 1879, 630, 1672, 52, 274, 5119, 277, 4744, 1110, 1879, 1736, 2368, 908, 913, 138, 1444, 143, 5644, 302, 1210, 815, 4276, 501, 161, 837, 668, 1715, 9261, 9804]"
49,"[1611, 2751, 905, 6363, 905, 2996, 787, 4695, 1476, 2210, 905, 4148, 7709, 1669, 1114, 3084, 38, 492, 6418, 3222, 8346, 7709, 1507, 2024, 4025, 215, 583, 708, 50, 9072, 726, 8740, 3722, 3962, 5817, 1401, 33, 1507, 4408, 7070, 344, 1102, 54, 5143, 219, 653, 57, 1825, 256, 9357, 59, 9368, 1277, 244, 783, 54, 4532, 783, 47, 741, 2213, 45, 741, 2126, 38, 2022, 1302, 2892, 37, 3837, 1114, 1515, 2302, 33, 632, 252, 783, 3154, 483, 632, 4485, 4441, 377, 1156, 997, 6960, 708, 3154, 6759, 1247, 45, 515, 492, 4189, 4076, 347, 5512, 347, 864, 2494, 507, 3494, 4189, 6633, 741, 9849, 4988, 33, 878, 905, 3618, 347, 1743, 28, 332, 415, 2566, 492, 344, 1102, 3618, 347, 641, 878, 905, 3312, 2112, 569, 415, 641, 650, 332, 783, 30, 332, 344, 269, 2898, 1605, 56, 157, 5393, 7158, 8620]"
50,"[1611, 2753, 907, 6365, 907, 2998, 789, 4697, 1478, 2212, 907, 4149, 7713, 1671, 1116, 3086, 38, 493, 6420, 3223, 8348, 7713, 1509, 2030, 4026, 217, 584, 710, 50, 9073, 727, 8741, 3725, 3968, 5820, 1404, 33, 1509, 4409, 7071, 345, 1103, 54, 5144, 221, 655, 57, 1829, 258, 9361, 59, 9372, 1278, 246, 784, 54, 4533, 784, 47, 742, 2214, 45, 742, 2127, 38, 2028, 1304, 2894, 37, 3839, 1116, 1517, 2304, 33, 633, 254, 784, 3155, 484, 633, 4486, 4442, 378, 1157, 998, 6962, 710, 3155, 6760, 1248, 45, 516, 493, 4190, 4077, 348, 5513, 348, 865, 2495, 508, 3498, 4190, 6634, 742, 9850, 4990, 33, 880, 907, 3619, 348, 1744, 28, 333, 416, 2567, 493, 345, 1103, 3619, 348, 643, 880, 907, 3313, 2113, 570, 416, 643, 651, 333, 784, 30, 333, 345, 271, 2899, 1606, 56, 159, 5394, 7159, 8622]"
51,"[174, 273, 1160, 421, 467, 193, 2163, 421, 3073, 193, 1318, 939, 272, 7437, 8547, 195, 5616, 3508, 272, 3238, 3508, 185, 5763, 8253, 954, 3590, 399, 323, 1058, 453, 505, 1785, 3074, 2405, 407, 182, 3591, 453, 275, 1124, 7288, 7228, 4709, 3969, 868, 4867, 52, 1010, 924, 4707, 6963, 2879, 3022, 372, 4627, 9727, 4627, 7377, 4627, 590, 6105, 7498, 7756, 775, 5070, 1884, 497, 185, 5987, 403, 2921, 1868, 4174, 6975, 190, 2559, 3662, 7591, 6679, 497, 7845, 6101, 5012, 990, 4106, 399, 1318, 5016, 288, 181, 6704, 279, 1086, 273, 949, 367, 475, 5009, 891, 6539, 2433, 288, 5051, 441, 2161, 397, 475, 5349, 2758, 8357, 272, 279, 316, 1074, 2161, 3285, 4821, 4871, 5324, 2433, 4579, 3590, 3375, 295, 2676, 505, 275, 845, 453, 7041, 5321, 1234, 809, 3914, 410, 4709, 3969, 5680, 3415, 272, 2827, 401, 3508, 272, 1919, 401, 4960, 2406, 3841, 465, 4581, 367, 1374, 182, 267, 2305, 8581, 305, 276, 5585, 470, 224, 2305, 7800, 9166]"
52,"[1611, 7359, 657, 3462, 443, 346, 852, 2321, 514, 2767, 3428, 486, 877, 2056, 1490, 7359, 1245, 3152, 482, 486, 1224, 3152, 482, 1639, 175, 6093, 3492, 1469, 4128, 538, 7455, 3048, 995, 4483, 3906, 341, 4316, 346, 909, 6632, 1490, 1491, 214, 1061, 3311, 1618, 45, 520, 9247, 132, 40, 2767, 175, 2150, 4098, 2013, 341, 1130, 3305, 30, 4946, 3305, 8281, 3305, 3457, 280, 9181, 2767, 4375, 2606, 786, 4074, 3287, 4683, 356, 340, 384, 673, 573, 6222, 214, 782, 2493, 1232, 1696, 5330, 5493, 259, 652, 3410, 9998, 2154, 6063, 3271, 828, 5941, 782, 49, 673, 770, 4526, 737, 7008, 862, 44, 341, 1228, 3124, 541, 41, 3870, 786, 37, 8523, 2489, 2954, 657, 9316, 5636, 41, 5838, 2949, 648, 341, 573, 8924, 375, 695, 1228, 329, 259, 707, 4074, 510, 2115, 4563, 1189, 2489, 35, 2034, 852, 2493, 514, 4484, 9293, 2137, 626, 42, 640, 4224, 45, 4812, 218, 214, 707, 42, 4978, 1618, 45, 538, 2097, 1109, 554, 4435, 218, 782, 3152, 482, 2525, 782, 4247, 514, 486, 6417, 4005, 7812, 35, 1150, 251, 2725, 2355, 6617, 280, 6454, 50, 1717, 4165, 2128, 2355, 33, 9275]"
